"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"31072822","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 19 days","Male","Large","Fawn/White","","No","Unknown","Foster Home",2022-03-20,"Babbles(Gotti)",2022-04-08,2022-04-08 02:51:50,19,7,"Fawn"
"34800791","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years  1 month  1 day","Female","Large","Black/White","","No","Unknown","Doggie Town",2022-03-31,"Song (Bella)",2022-04-08,2022-04-08 02:51:50,8,6,"Black"
"36200331","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","8 years 21 days","Female","Medium","Brown","","No","Unknown","Foster Home",2022-03-04,"Corra",2022-04-08,2022-04-08 02:51:50,35,8,"Brown"
"42216899","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","5 years 8 months 24 days","Female","Medium","Grey/White","","No","Unknown","Doggie Town",2022-04-05,"Braylynn",2022-04-08,2022-04-08 02:51:50,3,5,"Grey"
"42340880","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 5 months 10 days","Female","Large","Tan/White",NA,"No","Unknown","Doggie Den",2022-03-30,"Lola",2022-04-08,2022-04-08 02:51:50,9,3,"Tan"
"46190236","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 4 months","Female","Medium","Tan/White","","No","Unknown","Rover Refuge",2022-03-15,"Ginger Rogers",2022-04-08,2022-04-08 02:51:50,24,3,"Tan"
"48696743","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 6 months 19 days","Male","Large","Tan","","No","Unknown","Rover Refuge",2022-04-03,"Honeybear",2022-04-08,2022-04-08 02:51:50,5,1,"Tan"
"49140299","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 17 days","Female","Medium","White","","No","Unknown","Foster Home",2021-11-24,"Stormy B",2022-04-08,2022-04-08 02:51:50,135,1,"White"
"49259589","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 9 months 23 days","Male","Large","Golden","","No","Unknown","Foster Home",2021-12-15,"Peaches",2022-04-08,2022-04-08 02:51:50,114,1,"Golden"
"49283649","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 3 months 19 days","Female","Medium","Brown/White","","No","Unknown","Foster Home",2021-12-20,"ZooBear",2022-04-08,2022-04-08 02:51:50,109,3,"Brown"
"49367834","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 3 months 2 days","Female","Large","Brown","","No","Unknown","Foster Home",2022-01-06,"Savannah",2022-04-08,2022-04-08 02:51:50,92,2,"Brown"
"49374202","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","10 years 3 months  1 day","Female","Large","Grey/White","","No","Unknown","Foster Home",2022-01-07,"Pretty Girl",2022-04-08,2022-04-08 02:51:50,91,10,"Grey"
