"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"11681530","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Hound","12 years 10 days","Male","Medium","Black","","No","Yes","Foster Home",2022-06-06,"Pugsley",2022-07-03,2022-07-03 03:18:35,27,12,"Black"
"14305543","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","12 years 8 months 16 days","Male","Large","White/Brown","","No","Unknown","Foster Home",2022-05-13,"Bob Barker",2022-07-03,2022-07-03 03:18:35,51,12,"White"
"20556418","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Terrier","13 years  1 month 21 days","Female","Medium","Brown","","No","Unknown","Foster Home",2022-05-12,"Lillian",2022-07-03,2022-07-03 03:18:35,52,13,"Brown"
"33937702","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 7 months 21 days","Male","Medium","Red","","No","Unknown","Doggie Town",2022-06-19,"Redz (Boy Boy)",2022-07-03,2022-07-03 03:18:35,14,7,"Red"
"38253013","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 2 months 25 days","Male","Large","Grey/White","","No","Unknown","Foster Home",2022-06-02,"Bryant",2022-07-03,2022-07-03 03:18:35,31,7,"Grey"
"46323968","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 6 months 7 days","Male","Large","Blue","","No","Unknown","Doggie Town",2022-06-30,"Cashadena",2022-07-03,2022-07-03 03:18:35,3,2,"Blue"
"47520169","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 2 months 21 days","Male","Large","Brown/White","","No","Unknown","Doggie Town",2022-06-24,"Peanut",2022-07-03,2022-07-03 03:18:35,9,2,"Brown"
"48519035","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 10 months 8 days","Male","Large","White/Black","","No","Unknown","Foster Home",2022-05-08,"Edman",2022-07-03,2022-07-03 03:18:35,56,4,"White"
"49050644","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years  1 month 21 days","Female","Large","Tan/White","","No","Unknown","Doggie Town",2022-06-29,"Blaze",2022-07-03,2022-07-03 03:18:35,4,3,"Tan"
"49420746","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","2 years 5 months 18 days","Male","Medium","Tan/White","","No","Unknown","Foster Home",2022-01-14,"Short Rib",2022-07-03,2022-07-03 03:18:35,170,2,"Tan"
